ID,Character,Image,Description
1,八,3655818.jpg,(- often indicating separation) (- number 8) (- new form font changed most context 八 to context 丷)  (- 兌 traditional 兑 simplified)
2,八,3656106.jpg,(- often indicating separation) (- number 8) (- new form font changed most context 八 to context 丷)  (- 兌 traditional 兑 simplified)
3,巴,3656787.jpg,(- 巴 man kneeling with hands grabbing something) (- 把爬耙筢岜) (- in most cases hands are relevant and recuses to ) (- kneeling person in 卮巵邑岊絕绝色) (- phonetic in 吧芭疤笆粑羓蚆笆鲃鈀钯靶爸肥皅舥杷)
4,巴,3656630.jpg,(- 巴 man kneeling with hands grabbing something) (- 把爬耙筢岜) (- in most cases hands are relevant and recuses to ) (- kneeling person in 卮巵邑岊絕绝色) (- phonetic in 吧芭疤笆粑羓蚆笆鲃鈀钯靶爸肥皅舥杷)
5,巴,3657659.jpg,(- 巴 man kneeling with hands grabbing something) (- 把爬耙筢岜) (- in most cases hands are relevant and recuses to ) (- kneeling person in 卮巵邑岊絕绝色) (- phonetic in 吧芭疤笆粑羓蚆笆鲃鈀钯靶爸肥皅舥杷)
6,巴,3657131.jpg,(- 巴 man kneeling with hands grabbing something) (- 把爬耙筢岜) (- in most cases hands are relevant and recuses to ) (- kneeling person in 卮巵邑岊絕绝色) (- phonetic in 吧芭疤笆粑羓蚆笆鲃鈀钯靶爸肥皅舥杷)
7,白,3658708.jpg,"(- 白道, means the path of the moon)  (- later the moon indicated white and the sun 黃道 indicated yellow)"
8,邦,3700910.jpg,(- Family name Feng 酆 now 邦 not 丰).
9,保,3705956.jpg,(- a person 亻 holding a baby 𡥀𣎼𠫡 or 呆)
10,保,3705965.jpg,(- a person 亻 holding a baby 𡥀𣎼𠫡 or 呆)
11,保,3706710.jpg,(- a person 亻 holding a baby 𡥀𣎼𠫡 or 呆)
12,保,3706797.jpg,(- a person 亻 holding a baby 𡥀𣎼𠫡 or 呆)
13,保,3706799.jpg,(- a person 亻 holding a baby 𡥀𣎼𠫡 or 呆)
14,保,3709720.jpg,(- a person 亻 holding a baby 𡥀𣎼𠫡 or 呆)
15,豹,3709872.jpg,(- remnant 勺 of the spots on a leopard 豸)
16,豹,3710637.jpg,(- remnant 勺 of the spots on a leopard 豸)
17,卑,3712138.jpg,(- a long handled fan used by a slave indicating inferior person)
18,北,3712743.jpg,(- the back 北 faces north 北 when looking at the sundial). (- two men back to back)  (- original 北 back-bei 背 bèi)
19,贝,3713625.jpg,(- a cowry shell)
20,狈,3713226.jpg,(- used in the phrase 狼狈为奸)
21,匕,3714994.jpg,(baby animal 牝麀) (man 𠤗比死化匘尼旨此) (man 㫐𠤏 卬𠨐 艮𥃩) (man 卓𠤞㔬 齔龀 頃顷16) (mouth 𠤕) (bowl 皀鬯) (cane 老) (feet 能) (spoon 匙) (cursive (仑)侖 真眞)
22,匕,3715844.jpg,(baby animal 牝麀) (man 𠤗比死化匘尼旨此) (man 㫐𠤏 卬𠨐 艮𥃩) (man 卓𠤞㔬 齔龀 頃顷16) (mouth 𠤕) (bowl 皀鬯) (cane 老) (feet 能) (spoon 匙) (cursive (仑)侖 真眞)
23,匕,3716652.jpg,(baby animal 牝麀) (man 𠤗比死化匘尼旨此) (man 㫐𠤏 卬𠨐 艮𥃩) (man 卓𠤞㔬 齔龀 頃顷16) (mouth 𠤕) (bowl 皀鬯) (cane 老) (feet 能) (spoon 匙) (cursive (仑)侖 真眞)
24,比,3716934.jpg,(- which can be compared).
25,必,3716976.jpg,(- the measuring string 弋 to measure the separation 八)
26,畀,3717370.jpg,(- gift on a table) (- from an arrow 田 arrow head and 丌 arrow) (- originally an arrow)
27,畀,3717476.jpg,(- gift on a table) (- from an arrow 田 arrow head and 丌 arrow) (- originally an arrow)
28,畀,3718281.jpg,(- gift on a table) (- from an arrow 田 arrow head and 丌 arrow) (- originally an arrow)
29,辟,3719452.jpg,(- probably punishment by beheading)
30,辟,3719592.jpg,(- probably punishment by beheading)
31,兵,3720563.jpg,(- two hands 廾 holding an ax 斤)
32,兵,3720290.jpg,(- two hands 廾 holding an ax 斤)
33,丙,3721665.jpg,"(- a Chinese kang 火炕, a fire-stove that goes under the bed)  (- See 更㪅㶮寎,炳然)"
34,丙,3721772.jpg,"(- a Chinese kang 火炕, a fire-stove that goes under the bed)  (- See 更㪅㶮寎,炳然)"
35,丙,3721925.jpg,"(- a Chinese kang 火炕, a fire-stove that goes under the bed)  (- See 更㪅㶮寎,炳然)"
36,丙,3723784.jpg,"(- a Chinese kang 火炕, a fire-stove that goes under the bed)  (- See 更㪅㶮寎,炳然)"
37,丙,3723618.jpg,"(- a Chinese kang 火炕, a fire-stove that goes under the bed)  (- See 更㪅㶮寎,炳然)"
38,丙,3723156.jpg,"(- a Chinese kang 火炕, a fire-stove that goes under the bed)  (- See 更㪅㶮寎,炳然)"
39,丙,3724706.jpg,"(- a Chinese kang 火炕, a fire-stove that goes under the bed)  (- See 更㪅㶮寎,炳然)"
40,秉,3724909.jpg,(- hand grasping a stalk of grain)
41,并,3724326.jpg,(- two men added together and equal 並且 Bìngqiě furthermore)
42,并,3725608.jpg,(- two men added together and equal 並且 Bìngqiě furthermore)
43,并,3725555.jpg,(- two men added together and equal 並且 Bìngqiě furthermore)
44,并,3725911.jpg,(- two men added together and equal 並且 Bìngqiě furthermore)
45,并,3726690.jpg,(- two men added together and equal 並且 Bìngqiě furthermore)
46,驳,3726816.jpg,(- mixed color).
47,帛,3726239.jpg,(- cloth of white cotton)
48,卜,3728460.jpg,tool 攵攴pū 畏𤱫wèi 占zhàn 贞貞zhēn 歺𣦵è 骨 卦guà 外wài 钋釙pō 卟bǔ 讣訃fù 赴fù 扑 A015 卜[蔔]bo A016 补[補]bǔ A037 处[處]処chù 𠧨咎jiù 晷guǐ A192 扑[撲]pū A193 仆[僕]pū  A194 朴[樸]pǔ 卧臥wò 兆𠧞zhào 卓㔬zhuó
49,不,3728950.jpg,(- a plant cut at the root to be stooled) A098 还[還]不睘瞏 𨘣 A097 环[環]不睘瞏 𤪹 A095 坏[壞]不褱 A094 怀[懷]不褱 丕 pī 否 fǒu 咅㕻 pǒu
50,不,3729596.jpg,(- a plant cut at the root to be stooled) A098 还[還]不睘瞏 𨘣 A097 环[環]不睘瞏 𤪹 A095 坏[壞]不褱 A094 怀[懷]不褱 丕 pī 否 fǒu 咅㕻 pǒu
51,才,3730632.jpg,(- original 才塞 sāi) (- maybe a sprout) (- maybe a blocked stream)
52,才,3730945.jpg,(- original 才塞 sāi) (- maybe a sprout) (- maybe a blocked stream)
53,曹,3738533.jpg,"(- person who manages 曰 inventory 㯥 - judge, etc.)"
54,册,3738932.jpg,(- bamboo strips with words written on them woven together into a scroll).
55,叉,3739646.jpg,(- interlaced fingers)
56,叉,3739479.jpg,(- interlaced fingers)
57,长,3740648.jpg,"(- a man with long hair, indicating long)"
58,鬯,3740283.jpg,(- a bowl of rice)
59,鬯,3740480.jpg,(- a bowl of rice)
60,鬯,3741316.jpg,(- a bowl of rice)
61,朝,3741347.jpg,original of 潮 morning tide 晁 See 早潮晁
62,朝,3741412.jpg,original of 潮 morning tide 晁 See 早潮晁
63,朝,3741273.jpg,original of 潮 morning tide 晁 See 早潮晁
64,朝,3742492.jpg,original of 潮 morning tide 晁 See 早潮晁
65,车,3742331.jpg,(- two wheeled cart)
66,车,3742324.jpg,(- two wheeled cart)
67,车,3745204.jpg,(- two wheeled cart)
68,车,3746693.jpg,(- two wheeled cart)
69,车,3746748.jpg,(- two wheeled cart)
70,屮,3747455.jpg,(- a sprout with leaves)
71,尘,3749703.jpg,(- the dust 土 kicked up by the deer 鹿) .
72,臣,3749878.jpg,(- eye-mu 目 mù that watches over you)
73,辰,3750197.jpg,Hoe 鋤頭 or plow 犁. A man with two hands holding a hoe. 5th terrestrial branch. from 7 a.m. to 9 a.m.
74,辰,3750391.jpg,Hoe 鋤頭 or plow 犁. A man with two hands holding a hoe. 5th terrestrial branch. from 7 a.m. to 9 a.m.
75,辰,3751620.jpg,Hoe 鋤頭 or plow 犁. A man with two hands holding a hoe. 5th terrestrial branch. from 7 a.m. to 9 a.m.
76,辰,3751882.jpg,Hoe 鋤頭 or plow 犁. A man with two hands holding a hoe. 5th terrestrial branch. from 7 a.m. to 9 a.m.
77,辰,3751979.jpg,Hoe 鋤頭 or plow 犁. A man with two hands holding a hoe. 5th terrestrial branch. from 7 a.m. to 9 a.m.
78,辰,3752893.jpg,Hoe 鋤頭 or plow 犁. A man with two hands holding a hoe. 5th terrestrial branch. from 7 a.m. to 9 a.m.
79,辰,3752694.jpg,Hoe 鋤頭 or plow 犁. A man with two hands holding a hoe. 5th terrestrial branch. from 7 a.m. to 9 a.m.
80,承,3756867.jpg,(- man being lifted up by three hands)
81,乘,3756908.jpg,(- a man climbing a tree)
82,赤,3758466.jpg,(- fire which heats a naked person)
83,赤,3758952.jpg,(- fire which heats a naked person)
84,虫,3800620.jpg,(- later came to mean insect or other biting animal)
85,虫,3800943.jpg,(- later came to mean insect or other biting animal)
86,丑,3800186.jpg,(- a hand making a fist)
87,丑,3801537.jpg,(- a hand making a fist)
88,丑,3801293.jpg,(- a hand making a fist)
89,丑,3801355.jpg,(- a hand making a fist)
90,出,3802249.jpg,(- foot leaving an enclosure)
91,出,3802774.jpg,(- foot leaving an enclosure)
92,初,3803769.jpg,(- begin to make cloths by cutting the cloth)
93,刍,3805888.jpg,B017 刍[芻] chú person holding sheaves of grass. 㑳㑇 㥮㤘 雛雏 趨趋 皱皺 謅诌 縐绉 鄒邹 騶驺  𤔌 yǐn A257 稳[穩]刍𤔌 B124 隐[隱]刍𤔌 not 㦩 delete-工 𪺍𤔌 cursive ⺈爫 cursive 刍𪺍  㥯 yǐn not simplified to 急 刍(急) jí  急 from 㤂 刍(煞) shā 煞 unclear origin
94,刍,3806549.jpg,B017 刍[芻] chú person holding sheaves of grass. 㑳㑇 㥮㤘 雛雏 趨趋 皱皺 謅诌 縐绉 鄒邹 騶驺  𤔌 yǐn A257 稳[穩]刍𤔌 B124 隐[隱]刍𤔌 not 㦩 delete-工 𪺍𤔌 cursive ⺈爫 cursive 刍𪺍  㥯 yǐn not simplified to 急 刍(急) jí  急 from 㤂 刍(煞) shā 煞 unclear origin
95,楚,3806662.jpg,cant go 足 because of brush 林
96,豖,3806749.jpg,(- a shackled pig)
97,大,3815156.jpg,(- man modified 㚒奭爽㚒夫夰黃  去厺㚎 天 吳吴 奚央  奐奂 夲美夭夷 赤灻𤆍 矩) (- man 奎奈𡘹奄奈奔夸契奬𡙏奘驮耎奕) (- hands 奧樊奠𡚁) (- big 奩奓奞 奪夺 奋奮 耷奢𢧤奀尖尜夯) (- phonetic 达杕) (- cover 盇) (- other 羍輋莫类犬夼套)
98,大,3816767.jpg,(- man modified 㚒奭爽㚒夫夰黃  去厺㚎 天 吳吴 奚央  奐奂 夲美夭夷 赤灻𤆍 矩) (- man 奎奈𡘹奄奈奔夸契奬𡙏奘驮耎奕) (- hands 奧樊奠𡚁) (- big 奩奓奞 奪夺 奋奮 耷奢𢧤奀尖尜夯) (- phonetic 达杕) (- cover 盇) (- other 羍輋莫类犬夼套)
99,带,3816815.jpg,"(- a belt, top and bottom synching up"
100,带,3817315.jpg,"(- a belt, top and bottom synching up"
101,带,3817172.jpg,"(- a belt, top and bottom synching up"
102,丹,3818737.jpg,"(crucible of mercury 𠁿) (the more ancient character 𠂁) (crush, heat HgS, condense mercury vapor)"
103,单,3818438.jpg,"(- probably a sling, 田 is the pocket and rock and lower line is path of rock) (- possibly a cicada, two big eyes and a body)  (- original 单蝉單蟬 chán) (- some think it is a forked weapon of some kind)"
104,单,3818185.jpg,"(- probably a sling, 田 is the pocket and rock and lower line is path of rock) (- possibly a cicada, two big eyes and a body)  (- original 单蝉單蟬 chán) (- some think it is a forked weapon of some kind)"
105,单,3819718.jpg,"(- probably a sling, 田 is the pocket and rock and lower line is path of rock) (- possibly a cicada, two big eyes and a body)  (- original 单蝉單蟬 chán) (- some think it is a forked weapon of some kind)"
106,旦,3819518.jpg,(- sun above horizon).
107,旦,3819658.jpg,(- sun above horizon).
108,刀,3820136.jpg,(- an ancient knife) (- In context it is usually 刂)
109,刀,3820764.jpg,(- an ancient knife) (- In context it is usually 刂)
110,得,3821854.jpg,(- to acquire money on the street).
